English,Turkish
what,ne
get,almak
your,sizin
he,o
know,bilmek
go,gitmek
just,sadece
with,ile
but,fakat
so,"bu yüzden, yani, öyle"
all,herşey
there,orada
here,"burada, işte"
right,sağ
like,sevmek
if,eğer
was,oldu
can,yapabilmek
she,o
out,dışarı
about,hakkında
they,onlar
want,istemek
one,bir
say,söylemek
up,yukarı
him,onu
well,iyi
how,nasıl
think,düşünmek
now,şimdi
her,ona
come,gelmek
tell,söylemek
look,bakmak
take,almak
gonna,olacak
you,sen
make,yapmak
why,neden
see,görmek
need,"ihtiyaç, ihtiyaç duymak"
who,kim
good,iyi
back,geri
us,bize
as,"gibi, olarak"
time,zaman
his,onun
when,ne zaman
from,"itibaren, -den beri"
them,onları
would,olur
were,idi
an,bir
thing,"şey, nesne, obje"
our,bizim
where,nerede
then,daha sonra
or,veya
really,"gerçekten, hakikaten"
guy,"adam, herif"
mean,anlamına gelmek
had,vardı
to,için
some,bazı
it,o
way,yol
do,yapmak
thank,teşekkür
talk,konuşma
people,insanlar
because,çünkü
more,daha
sorry,üzgünüm
man,adam
work,iş
never,asla
by,tarafından
too,çok
down,aşağı
kill,öldürmek
should,meli
help,yardım
give,vermek
call,aramak
little,küçük
happen,"meydana gelmek, olmak"
only,"sadece, tek"
wait,bekle
find,bulmak
god,tanrı
sure,"elbette, emin"
off,kapalı
love,aşk
day,gün
over,bitmiş
keep,tut
maybe,belki
two,iki
still,"hâla, durgun, hareketsiz"
please,lütfen
even,hatta
any,herhangi
try,denemek
friend,arkadaş
stop,dur
feel,hissetmek
that,"şu, o"
we,biz
hear,duymak
and,ve
other,diğer
new,yeni
into,içine
thought,düşünce
before,önce
than,göre
ask,sormak
much,çok
yes,evet
these,bunlar
anything,"hiçbir şey, her şey"
use,"kullanmak, kullanım"
put,koymak
first,ilk
again,tekrar
great,harika
night,gece
very,çok
their,onların
last,son
year,yıl
life,hayat
nothing,hiçbir şey değil
after,sonra
believe,inanmak
leave,ayrılmak
those,"onlar, şunlar"
have,sahip olmak
name,isim
better,daha iyi
ever,hiç
move,hareket
long,uzun
place,"yer, yerleştirmek"
someone,birisi
start,başlat
ok,tamam
fine,"iyi, hoş, ceza kesmek"
everything,her şey
stay,kalmak
always,her zaman
girl,kız
mr,bay
father,baba
home,ev
of,nın-nin
be,olmak
away,uzakta
kind,"tür, çeşit"
kid,çocuk
me,ben
done,tamam
live,canlı
big,büyük
hell,cehennem
dead,ölü
die,ölmek
every,"her, bütün, her bir"
listen,dinlemek
which,hangi
lot,çok
might,belki
made,yapılmış
through,vasıtasıyla
around,"çevrede, etrafında"
head,kafa
bad,kötü
on,üzerinde
wrong,yanlış
nice,güzel
boy,"oğlan, erkek"
enough,yeterli
remember,hatırlamak
else,başka
son,"oğul, evlat, çocuk"
left,"sol, kalmak"
turn,"dönmek, çevirmek"
care,"önemsemek, bakım, ilgi"
own,kendi
show,göstermek
hand,el
run,"koşmak, çalıştırmak"
hi,selam
guess,tahmin
play,oyna
understand,anlama
baby,bebek
found,"kurmak, tesis etmek, bulunmuş"
three,üç
watch,izlemek
dad,baba
another,"diğer, başka"
hold,"ambar, tutma"
best,en iyi
actually,aslında
fight,kavga
course,kurs
world,dünya
city,şehir
for,için
old,"eski, yaşlı"
came,geldi
bring,getirmek
same,aynı
saw,testere
brother,erkek kardeş
mom,anne
hello,merhaba
mind,"akıl, önemsemek"
does,yapar
next,sonraki
meet,"tanışmak, buluşmak, karşılaşmak"
together,birlikte
end,son
king,kral
not,değil
yourself,kendin
miss,özlemek
mother,anne
went,gitti
already,"zaten, çoktan"
family,aile
job,iş
idea,fikir
real,gerçek
pretty,"tatlı, hoş, sevimli"
many,çok
everyone,herkes
money,para
wanna,istiyorum
men,erkekler
sound,ses
question,soru
both,her ikisi de
worry,endişelenmek
problem,sorun
whole,bütün
open,açık
word,sözcük
matter,"önemli olmak, madde, mesele"
anyone,kimse
while,süre
huh,ha
without,olmadan
room,oda
eye,göz
once,bir zamanlar
ready,hazır
hard,zor
woman,kadın
coming,gelecek
seen,görüldü
change,"değiştirmek, değişiklik"
today,bugün
hope,umut
seem,görünmek
trust,"güvenmek, güven"
happy,mutlu
yet,henüz
point,puan
minute,dakika
gotta,"-meli, -malı"
part,bölüm
most,"çoğu, en çok"
house,ev
second,ikinci
face,yüz
walk,yürümek
save,kayıt etmek
hour,saat
damn,lanet olsun
since,dan beri
lost,kayıp
check,kontrol
something,"bir şey, falan"
until,a kadar
stuff,şey
lord,kral
deal,"anlaşma, ilgilenmek"
lie,"yalan söylemek, yatmak, uzanmak,"
ago,önce
week,hafta
number,numara
whatever,her neyse
myself,kendim
exactly,"kesinlikle, tamamen"
hurt,canını yakmak
sir,bayım
tonight,"bu gece, bu akşam"
car,araba
few,az
date,"tarih, randevu, biriyle çıkmak"
sleep,"uyumak, uyku"
probably,muhtemelen
close,kapat
alone,yalnız
whoa,çüş
fuck,kahretsin
phone,telefon
safe,"güvenilir, güvende"
door,kapı
eat,yemek
TRUE,doğru
person,kişi
doe,dişi geyik
fun,eğlence
speak,konuşmak
gun,tabanca
queen,kraliçe
cause,"sebep olmak, sebep"
stand,ayakta durmak
each,her biri
case,durum
break,"mola, mola vermek"
drink,"içmek, içki"
chance,şans
game,oyun
reason,neden
hit,vurmak
pick,toplamak
month,ay
gave,verdi
shit,bok
wow,vay
excuse,bahane
death,ölüm
rest,dinlenme
bit,"bit, gem, önemsiz"
morn,sabah
lady,hanım
cool,"havalı, serinlik"
wife,kadın eş
five,beş
figure,"rakam, şekil, yer almak, ifade etmek"
sit,oturmak
story,hikaye
answer,cevap vermek
alive,canlı
forget,unutmak
wish,"dilek, dilemek"
win,kazanmak
also,"ayrıca, aynı zamanda"
fire,ateş
such,böyle
crazy,çılgın
buy,satın almak
interest,"ilgi, ilgisini çekmek"
under,altında
side,yan
sister,kız kardeş
mine,benim
truth,hakikat
easy,kolay
shot,"atış, vurmak"
least,en az
read,okumak
far,uzak
party,parti
hate,nefret
soon,yakında
inside,içeride
pull,çek
clear,"temiz, açık, berrak"
anymore,artık
hang,asmak
tomorrow,yarın
follow,takip et
anyway,neyse
everybody,herkes
shut,kapamak
different,farklı
pay,ödemek
lose,kaybetmek
stupid,aptal
order,sipariş
school,okul
moment,an
daughter,kız evlat
business,iş
secret,gizli
no,hayır
book,kitap
against,karşısında
heart,kalp
build,"yapı, inşa etmek"
protect,korumak
war,savaş
late,geç
light,ışık
afraid,"korkmuş, kaygılı, üzgün"
blood,kan
send,gönder
four,dört
choice,seçim
either,ya
promise,söz vermek
learn,öğrenmek
water,su
wear,"giymek, giyinmek"
hot,sıcak
cut,kesmek
behind,arkasında
met,tanışmak
island,ada
power,güç
funny,komik
supposed,sözde
line,hat
sometimes,bazen
later,sonra
welcome,hoşgeldiniz
food,gıda
drive,sürmek
couple,çift
wall,duvar
somebody,birisi
almost,neredeyse
brought,getirdi
important,önemli
free,beleş
wedding,düğün
between,arasında
begin,başlamak
body,"vücut, gövde, ceset"
murder,cinayet
machine,makine
dude,kanka
dinner,akşam yemegi
lead,öncülük etmek
sign,işaret
though,rağmen
team,takım
land,arazi
fact,gerçek
return,dönüş
sex,cinsiyet
half,yarım
star,yıldız
dream,rüya
dog,köpek
office,ofis
able,yapabilmek
wonder,merak etmek
attack,"saldırı, saldırmak"
shoot,"film çekmek, ateş etmek"
arrow,ok
children,çocuklar
weird,tuhaf
pass,"geçmek, geçiş"
bitch,"kahpe, kaltak"
child,çocuk
fall,"inmek, düşmek, sonbahar"
drop,düşürmek
beautiful,güzel
outside,dışarıda
husband,koca
women,kadınlar
high,yüksek
steal,çalmak
rule,kural
six,altı
surprise,sürpriz
nobody,kimse
detective,dedektif
accept,kabul etmek
hide,saklamak
act,davranmak
young,genç
cop,polis
perhaps,belki
making,yapımı
okay,tamam
sent,gönderilen
doctor,doktor
bed,yatak
touch,dokunma
system,sistem
past,geçmiş
living,yaşam
offer,teklif
expect,"ummak, beklemek"
front,ön
trouble,sorun
clean,temiz
become,"olmak, haline gelmek"
honey,bal
burn,"yakmak, yanmak"
step,adım
wake,uyanmak
ass,"kıç, kalça"
black,siyah
state,durum
sweet,tatlı
train,tren
totally,tamamen
cover,örtmek
didnt,hiç
glad,memnun
quite,epeyce
perfect,mükemmel
throw,atmak
full,"tam, dolu"
police,polis
street,sokak
parent,ebeveyn
ring,halka
company,şirket
army,ordu
control,kontrol
bet,"bahis, iddiaya girmek"
air,hava
finish,bitiş
magic,"sihir, sihirbazlık"
weapon,silah
ahead,"ilerde, önde"
count,"saymak, sayı"
anybody,kimse
yeah,evet
running,koşu
town,kasaba
mistake,hata
decide,karar vermek
sense,duyu
catch,yakalamak
realize,"gerçekleştirmek, farkına varmak"
choose,seçmek
himself,kendisi
green,yeşil
built,inşa edilmiş (build)
relationship,ilişki
explain,açıklamak
luck,şans
rick,"burkulma, burkmak"
died,vefat etti
shall,kaçınılmazlık belirtir
ground,zemin
earth,dünya
finally,en sonunda
seriously,ciddi anlamda
sort,çeşit
none,yok
meant,"anlamına gelmek, kastedilen"
known,bilinen
kiss,öpmek
somewhere,bir yerde
track,izlemek
longer,daha uzun
future,gelecek
apartment,Daire
less,daha az
lucky,şanslı
worse,daha kötüsü
blow,"esmek, üflemek, darbe"
hair,saç
unless,olmadıkça
join,katılmak
boat,"tekne, sandalla gezmek"
list,liste
honor,"onur, şeref, onurlandırmak"
enjoy,keyfini çıkarın
this,bu
serious,ciddi
ship,gemi
destroy,yıkmak
along,boyunca
test,"sınamak, test etmek, test"
guard,bekçi
push,"itelemek, itmek"
key,anahtar
boss,patron
sick,hasta
agree,"aynı fikirde olmak, anlaşmak"
buddy,"arkadaş, ahbap"
suit,takım elbise
spend,harcamak
lock,kilit
beat,dövmek
cry,ağla
ride,binmek
fault,"arıza, hatası olmak"
broke,kırdı
fix,düzeltmek
science,bilim
fear,korku
worth,değer
smart,akıllı
human,insan
message,"mesaj, ileti"
white,beyaz
law,yasa
security,güvenlik
arm,kol
possible,mümkün
captain,kaptan
allow,izin vermek
special,özel
bye,hoşçakal
drug,ilaç
space,"alan, boş yer, mekan"
fair,adil
picture,resim
mad,"deli, kızgın, çılgın"
scar,yara izi
absolutely,kesinlikle
strong,kuvvetli
top,üst
write,yazmak
north,kuzey
share,"paylaşmak, pay"
dear,sayın
gift,hediye
smell,koku
ten,on
red,kırmızı
shh,şşş
deserve,hak etmek
dress,elbise
piece,"parça, eklemek"
joke,şaka
code,kod
small,küçük
till,-e kadar
dark,karanlık
charge,şarj etmek
record,kayıt
stick,çubuk
movie,film
swear,"küfür etmek, yemin etmek"
box,kutu
fast,hızlı
entire,tüm
consider,düşünmek
mrs,evli kadın
grow,büyümek
saved,kaydedilmiş
bag,sırt çantası
instead,yerine
except,dışında
girlfriend,kız arkadaşı
crime,suç
kick,atmak
brain,beyin
dangerous,tehlikeli
pain,ağrı
rock,kaya
million,milyon
single,tek
coffee,kahve
laugh,"gülmek, gülüş, sevinmek"
table,"masa, tablo"
group,grup
dance,"dans etmek, dans"
cell,hücre
lying,"yalan söyleme, uzanma"
card,kart
grace,zarafet
mess,dağınıklık
plane,uçak
teach,öğretmek
terrible,korkunç
sell,"satılmak, satmak"
road,yol
report,"rapor, bildirmek"
paper,kâğıt
prison,hapis
daddy,baba
voice,ses
mile,mil
screw,vida
cold,soğuk
fail,başarısız olmak
careful,dikkatli
suppose,varsaymak
hospital,hastane
correct,doğru
caught,yakalandı
partner,ortak
birthday,doğum günü
imagine,hayal etmek
warn,uyarmak
handle,üstesinden gelmek
across,karşısında
mark,işaret
decision,karar
lawyer,avukat
bomb,bomba
history,tarih
concern,ilgilendirmek
memory,hafıza
kingdom,krallık
forgive,affetmek
mouth,ağız
simple,basit
killer,katil
ball,top
appreciate,"takdir etmek, değeri artmak"
quick,hızlı
proud,gururlu
prove,kanıtlamak
reach,ulaşmak
arrest,tutuklamak
relax,rahatlamak
anywhere,herhangi bir yer
spent,harcanmış
leg,bacak
bear,"ayı, taşımak, dayanmak"
force,güç
slow,yavaş
forever,sonsuza dek
knock,kapı çalmak
feet,"fit, ayaklar"
enemy,düşman
information,bilgi
mention,"bahsetmek, söz etmek"
treat,tedavi etmek
respect,saygı
seat,oturma yeri
rather than,-den ziyade
camp,"kamp, kamp yapmak"
crap,"pislik, ıvır zıvır, çerçöp"
goodbye,güle güle
marry,evlenmek
owe,borçlu olmak
uncle,amca dayı
floor,zemin
upset,üzgün
straight,düz
station,istasyon
suck,emmek
definitely,kesinlikle
neither,"hiçbir, ikisinden hiçbiri"
class,sınıf
gate,kapı
cute,şirin
store,mağaza
fly,uçmak
assume,"üstlenmek, varsaymak"
pretend,"taklit, yapar gibi görünmek"
sword,"kılıç, güç, hükümdarlık"
grab,kapmak
cook,pişirmek
busy,meşgul
present,"sunmak, takdim etmek, hediye"
jimmy,levye
darling,"sevgili, canım"
cross,"karşıya geçmek, haç, çapraz"
angry,kızgın
cat,kedi
calm,"sakinleştirmek, sakinlik"
search,"aramak, araştırmak"
quiet,sessiz
target,hedef
tree,ağaç
peace,barış
bank,banka
survive,hayatta kalmak
thousand,bin
belong,ait olmak
eight,sekiz
roll,rulo
idiot,salak
trick,hile
ice,buz
professor,profesör
copy,"kopya, kopyalamak"
doubt,şüphe
blame,suçlamak
boyfriend,erkek arkadaş
agent,ajan
hop,"sekmek, zıplamak"
awesome,harika
worst,en kötü
field,alan
hunt,"avlanmak, avlamak, av"
short,kısa
remind,hatırlatmak
pack,"paketlemek, ambalajlamak, eşyaları toplamak, bavul hazırlamak"
spot,"leke, nokta, fark etmek"
computer,bilgisayar
bastard,piç
freak,ucube
drunk,sarhoş
chase,kovalamak
favor,iyilik
broken,"kırık, arızalı"
country,ülke
carry,taşımak
dragon,ejderha
fool,aptal
hurry,"acele etmek, telaş"
fill,doldurmak
pant,solumak
ruin,harabe
client,müşteri
middle,orta
club,kulüp
mayor,belediye başkanı
camera,kamera
service,"hizmet, hizmet etmek"
government,hükümet
poor,"yoksul, zavallı"
sun,güneş
born,"doğmuş, doğan"
admit,itiraf etmek
breath,"nefes, soluk"
early,erken
certain,belli
monster,canavar
completely,"büsbütün, tamamen"
forward,"ileri, ileriye doğru"
personal,kişisel
paid,ücretli
evidence,kanıt
pregnant,hamile
favorite,favori
trip,gezi
jump,"sıçramak, zıplamak, atlamak"
bathroom,banyo
situation,durum
visit,ziyaret etmek
yep,evet
wonderful,"müthiş, harika"
universe,evren
college,kolej
clearly,açıkça
yesterday,dün
age,yaş
travel,"seyahat etmek, seyahat"
judge,"yargılamak, hakim"
position,"pozisyon, konum, durum"
suggest,önermek
experience,deneyim
wont,"alışkanlık, alışmak"
contact,"iletişim kurmak, iletişim"
officer,"memur, subay"
music,müzik
horse,at
board,"yazı tahtası, binmek"
sad,üzgün
danger,tehlike
nearly,neredeyse
summer,yaz
fish,balık
song,şarkı
sire,"majesteleri, baba"
design,"tasarlamak, tasarım"
waste,"israf etmek, israf"
obviously,"belli ki, açıkçası, besbelli"
previously,önceden
gentlemen,beyler
accident,kaza
original,"orijinal, özgün"
marriage,"evlilik, evlenme"
bullet,"mermi, kurşun"
suffer,acı çekmek
third,üçüncü
hall,salon
honest,dürüst
sweetie,"tatlım, manita, sevgilim"
attention,"dikkat, özen"
support,"desteklemek, destek"
remain,"geriye kalmak, artmak"
christmas,noel
quit,"bırakmak, vazgeçmek"
willing,istekli
blue,mavi
master,"efendi, usta"
whoever,her kim
deep,derin
window,pencere
conversation,"konuşma, sohbet"
walker,"yürüteç, yaya"
certainly,kesinlikle
court,mahkeme
beer,bira
draw,çizmek
escape,"kaçmak, firar"
lunch,öğle yemeği
hero,kahraman
hat,şapka
level,seviye
serve,hizmet etmek
focus,"odak, odaklanmak"
plan,"planlamak, tasarlamak, plan"
soul,ruh
sing,"şarkı söylemek, söylemek"
whose,kimin
scare,korkmak
round,"yuvarlak, dönmek"
apparently,görünüşe göre
gotten,kazanılmış
plus,artı
wound,yara
tough,sert
block,blok
lab,laboratuvar
near,yakın
bother,canını sıkmak
betray,ihanet etmek
victim,kurban
church,kilise
beg,"dilenmek, yalvarmak"
bird,kuş
wood,odun
fell,"düşmek, mahvetmek"
poison,zehir
upon,üzerine
during,sırasında
threat,tehdit
bigger,daha büyük
file,"dosya, kayda geçirmek"
taste,"tatmak, tat, lezzet"
fit,"uymak, uygun"
gold,altın
stuck,sıkışmış
paint,"boyamak, boya"
bunch,"demet, salkım"
hungry,aç
within,içinde
signal,işaret
battle,"savaş, savaşmak"
innocent,masum
letter,mektup
lovely,"güzel, hoş"
loved,"sevgili, aşık"
appear,görünmek
finger,parmak
feed,"beslemek, beslenmek"
crash,"çarpmak, çarpışmak, kaza"
kidding,dalga geçmek
holy,kutsal
wine,şarap
princess,prenses
radio,radyo
ear,kulak
difference,"fark, ayrım"
access,"erişim, erişmek"
justice,adalet
weekend,hafta sonu
faith,inanç
bill,fatura
chicken,tavuk
scream,"çığlık atmak, çığlık"
hole,"delik, delik açmak"
shoe,ayakkabı
criminal,"suçlu, adli"
smile,gülümsemek
pleasure,"zevk, haz"
glass,bardak
nope,hayır
mission,misyon
action,"eylem, davranış"
apologize,özür dilemek
whether,-mek veya -memek
tie,kravat
south,güney
commander,komutan
account,"hesap, hesap vermek"
theory,teori
scene,"sahne, manzara, faaliyet alanı"
wind,rüzgar
truck,kamyon
talk to,biriyle konuşmak
taught,öğretilen
fat,şişman
ticket,bilet
cost,maliyet
huge,kocaman
bloody,"kanlı, kanatmak"
let,izin vermek
go to,gitmek
claim,"iddia etmek, iddia"
shame,utanç
detail,"detay, ayrıntılı anlatmak"
discuss,tartışmak
rid,kurtulmuş
dollar,dolar
unit,birim
flight,uçuş
naked,çıplak
extra,ekstra
truly,gerçekten
private,özel
cup,fincan
nine,dokuz
sea,deniz
address,adres
price,fiyat
note,not
exist,var olmak
aunt,"teyze, hala"
math,matematik
prince,prens
suspect,şüpheli
sake,uğruna
beach,"plaj, kumsala çekmek"
location,yer
common,yaygın
evil,kötülük
leader,önder
prisoner,mahkum
project,proje
dirty,kirli
although,olmasına rağmen
smoke,sigara içmek
usually,genelde
guilty,suçlu
type,tip
besides,"dışında, ayrıca"
threaten,tehdit etmek
difficult,zor
ridiculous,gülünç
trial,deneme
tape,"kaset, kasede almak"
issue,konu
research,araştırma
public,"halk, umumi, kamu"
castle,"kale, şato, hisar"
student,öğrenci
area,alan
advice,tavsiye
wrote,yazdı
stone,taş
wash,yıkama
west,batı
department,bölüm
earlier,daha erken
member,üye
text,metin
press,basın
switch,"şalter, değiştirmek"
soldier,asker
ghost,hayalet
mystery,gizem
piss,işemek
apart,ayrı
mountain,dağ
bro,kanka
lay,yatırmak
twice,iki defa
everywhere,her yerde
tea,çay
right now,"hemen şimdi, derhal"
supply,arz
trade,ticaret
guest,konuk
fake,sahte
bleed,kanamak
notice,farkına varmak
art,sanat
buck,"dolar, sıçramak"
herself,kendini
especially,özellikle
command,komuta
trap,tuzak
final,nihai
rain,yağmur
beyond,ötesinde
saving,tasarruf
patient,hasta
breathe,nefes almak
strange,garip
neck,boyun
iron,demir
impossible,imkansız
snow,kar
sitting,oturma
chair,sandalye
opportunity,fırsat
my,benim
develop,geliştirmek
somehow,bir şekilde
chuck,atmak
american,amerikan
spy,casus
come to,gel
indeed,aslında
dumb,"aptal, sessiz"
photo,fotoğraf
shirt,gömlek
warm,"ilık, hafif sıcak"
rich,zengin
enter,"girmek, katılmak"
planet,gezegen
egg,yumurta
credit,kredi
plant,bitki
weak,zayıf
option,seçenek
shower,duş
scientist,bilim insanı
come on,haydi
get to,"e gelmek, noktasına gelmek"
hotel,otel
dig,kazmak
double,çift
greatest,en büyük
cake,kek
cheer,tezahürat
convince,ikna etmek
monkey,maymun
vote,oy
base,"baz, dayandırmak"
english,ingilizce
page,sayfa
nose,burun
quickly,hızlı bir şekilde
abandon,terketmek
disappear,kaybolmak
odd,garip
get it,anla
bury,gömmek
strength,kuvvet
excellent,"mükemmel, enfes"
receive,teslim almak
map,harita
path,"yol, yörünge"
sight,görme
cloth,bez
barely,zar zor
bottom,"alt, dip, temeline inmek"
plenty,bol
easier,daha kolay
empty,"boş, boşaltmak"
frank,dürüst
warrior,savaşçı
require,"gerekmek, gerektirmek, gerektirir, icap etmek"
button,düğme
hook,kanca
mommy,anne
themselves,kendilerini
rose,gül
destiny,kader
complete,"tamamlamak, tam, eksiksiz"
super,süper
avoid,"önlemek, kaçınmak"
bless,kutsamak
possibly,"muhtemelen, belki"
foot,ayak
dare,"kafa tutmak, cesaret"
often,sıklıkla
bus,otobüs
fate,kader
study,ders çalışma
animal,hayvan
fan,yelpaze
embarrass,utandırmak
settle,yerleşmek
tool,aracı
farm,çiftlik
pray,dua etmek
liar,yalancı
purpose,amaç
otherwise,aksi takdirde
folk,halk
amazing,"inanılmaz, şaşırtıcı"
east,doğu
threw,attı
safety,emniyet
email,e-posta
skin,cilt
corner,köşe
continue,devam et
tear,gözyaşı
knife,bıçak
mask,maskelemek
bridge,köprü
raise,yükseltmek
grant,hibe
insane,deli
rat,sıçan
honestly,dürüstçe
gas,gaz
sky,gökyüzü
powerful,güçlü
cash,nakit
term,terim
deliver,teslim etmek
breakfast,kahvaltı
ourselves,kendimizi
set,ayarlamak
split,bölünmüş
fought,kavga etti
shadow,gölge
throne,taht
witness,"tanık olmak, şahit olmak"
prepare,hazırlamak
flower,çiçek
yell,bağırma
bone,kemik
toward,"karşı, doğru"
further,daha ileri
bottle,"şişe, şişelemek"
regret,pişmanlık
closer,"daha yakın, sonlandırıcı"
above,yukarıda
asleep,"uykuda, tembel"
interview,"röportaj, söyleşi yapmak"
mate,dostum
career,kariyer
throat,boğaz
bite,ısırmak
mama,anne
load,"yük, yüklemek"
comfortable,rahat
circle,daire
fir,köknar
nut,fındık
emergency,acil durum
hood,kapüşon
band,"bant, şerit"
president,devlet başkanı
tight,sıkı
named,adlı
held,kavradı
duty,görev
chinese,çince
teacher,öğretmen
fresh,taze
van,kamyonet
match,eşleşme
pocket,cep
speech,konuşma
defend,savunmak
prefer,tercih etmek
older,daha eski
sold,satıldı
afternoon,öğleden sonra
low,düşük
jealous,kıskanç
blind,kör
pressure,basınç
gather,toplamak
sail,yelken
add,eklemek
spread,"yaymak, yayılmak"
kitchen,mutfak
event,etkinlik
strike,vuruş
stranger,yabancı
giant,dev
storm,fırtına
roof,çatı
process,süreç
root,"kök, köken"
itself,kendisi
color,renk
nowhere,hiçbir yerde
bell,"çan, zil, böğürmek"
tiny,çok küçük
russian,"rusça, rus"
restaurant,restoran
sweetheart,birtanem
invite,davet et
loose,gevşek
arrive,varmak
slept,uyudu
connect,bağlamak
bedroom,yatak odası
spoke,konuştu
necessary,gerekli
device,cihaz
cousin,kuzen
moon,ay
flame,alev
large,büyük
tower,kule
cream,krem
however,ancak
hire,kiralama
brilliant,parlak
savior,kurtarıcı
skill,beceri
nervous,"sinir, gergin, sinirli"
league,lig
harm,zarar
defeat,yenilgi
creat,kaynak oluşturmak
crack,çatlak
dump,"çöplük, çöp dökmek"
brave,cesur
sawyer,bıçkıcı
harder,daha güçlü
earn,kazanmak
seek,aramak
earl,kont
medical,tıbbi
slip,kayma
sacrifice,kurban
awful,berbat
shoulder,omuz
knee,diz
punch,yumruk
desk,sıra
ain't,değil
spirit,ruh
size,boyut
chain,zincir
asshole,kıç deliği
attorney,avukat
due,nedeniyle
likely,muhtemelen
defense,savunma
river,nehir
billion,milyar
jerk,"sarsmak, ahmak"
plate,tabak
responsible,sorumluluk sahibi
subject,"konu, özne"
crew,mürettebat
race,yarış
attempt,girişimde bulunmak
genius,deha
milk,süt
tip,"ipucu, bahşiş"
depend,"bağlı olmak, güvenmek"
operation,operasyon
feelings,"gönül, his dünyası"
onto,üstüne
dry,kuru
aware,farkında olmak
